user_id,day,date,screen_time,sleep,steps,unlocks,mood,sleep_deficit,activity_score,screen_intensity,mood_inversion,weekday_flag,late_night_flag,risk_rule,risk_target
user_001,45,2024-02-14,4.45,6.41,2593,65,3,1.59,0.26,0.56,2,1,0,72.5,71.2
user_001,46,2024-02-15,4.59,6.13,5109,79,3,1.87,0.51,0.57,2,1,0,70.9,71.3
user_001,47,2024-02-16,5.16,5.72,9617,90,4,2.28,0.96,0.64,1,1,0,56.2,60.3
user_001,48,2024-02-17,6.99,6.16,4828,108,3,1.84,0.48,0.87,2,0,0,80.7,78.8
user_001,49,2024-02-18,5.46,5.37,3713,93,3,2.63,0.37,0.68,2,0,0,84.8,83.8
user_001,50,2024-02-19,4.12,7.09,3144,67,4,0.91,0.31,0.51,1,1,0,51.2,55.0
user_001,51,2024-02-20,4.95,7.82,3074,87,4,0.18,0.31,0.62,1,1,0,47.5,45.3
user_001,52,2024-02-21,2.96,6.99,10224,41,5,1.01,1.02,0.37,0,1,0,21.5,18.7
user_001,53,2024-02-22,2.94,7.09,3276,28,4,0.91,0.33,0.37,1,1,0,46.3,50.9
user_001,54,2024-02-23,6.09,6.29,3829,85,3,1.71,0.38,0.76,2,1,0,77.8,84.8
user_001,55,2024-02-24,6.48,6.92,4024,91,3,1.08,0.4,0.81,2,0,0,72.7,74.7
user_001,56,2024-02-25,6.15,5.04,6928,79,3,2.96,0.69,0.77,2,0,0,84.4,90.7
user_001,57,2024-02-26,5.32,6.62,5993,73,4,1.38,0.6,0.67,1,1,0,55.1,53.6
user_001,58,2024-02-27,4.75,7.33,4768,60,4,0.67,0.48,0.59,1,1,0,48.1,47.0
user_001,59,2024-02-28,5.64,7.51,5631,84,4,0.49,0.56,0.71,1,1,0,48.2,46.3
user_001,60,2024-02-29,5.55,6.9,3764,59,3,1.1,0.38,0.69,2,1,0,69.7,66.0
user_001,61,2024-03-01,3.7,7.79,9136,47,5,0.21,0.91,0.46,0,1,0,18.6,17.4
user_001,62,2024-03-02,6.31,6.33,6185,83,3,1.67,0.62,0.79,2,0,0,73.6,76.4
user_001,63,2024-03-03,5.71,7.07,4442,73,4,0.93,0.44,0.71,1,0,0,55.2,61.0
user_001,64,2024-03-04,5.78,5.2,4080,92,3,2.8,0.41,0.72,2,1,0,86.9,83.3
user_001,65,2024-03-05,5.42,7.01,3873,75,4,0.99,0.39,0.68,1,1,0,55.8,49.5
user_001,66,2024-03-06,6.62,6.03,5738,98,3,1.97,0.57,0.83,2,1,0,78.7,82.8
user_001,67,2024-03-07,3.98,7.05,7149,64,4,0.95,0.71,0.5,1,1,0,43.1,46.6
user_001,68,2024-03-08,3.93,6.46,8628,34,4,1.54,0.86,0.49,1,1,0,45.9,50.6
user_001,69,2024-03-09,5.64,6.49,3754,78,3,1.51,0.38,0.7,2,0,0,74.1,78.0
user_001,70,2024-03-10,6.92,6.52,4241,82,3,1.48,0.42,0.87,2,0,0,78.1,75.5
user_001,71,2024-03-11,4.09,7.2,6192,67,4,0.8,0.62,0.51,1,1,0,44.0,45.4
user_001,72,2024-03-12,4.56,8.35,6464,59,5,0.0,0.65,0.57,0,1,0,25.3,30.9
user_001,73,2024-03-13,5.94,7.69,4571,92,4,0.31,0.46,0.74,1,1,0,49.7,45.4
user_001,74,2024-03-14,5.44,6.43,2681,86,3,1.57,0.27,0.68,2,1,0,76.1,70.7
user_001,75,2024-03-15,2.2,7.6,8414,40,5,0.4,0.84,0.28,0,1,0,15.9,18.2
user_001,76,2024-03-16,7.77,6.45,3250,108,3,1.55,0.33,0.97,2,0,1,84.1,83.2
user_001,77,2024-03-17,6.35,5.55,5094,88,3,2.45,0.51,0.79,2,0,0,83.8,84.6
user_001,78,2024-03-18,4.83,4.98,3922,66,3,3.02,0.39,0.6,2,1,0,85.7,85.6
user_001,79,2024-03-19,4.81,6.91,8290,70,4,1.09,0.83,0.6,1,1,0,45.6,44.6
user_001,80,2024-03-20,2.58,6.3,8086,46,4,1.7,0.81,0.32,1,1,0,43.2,47.8
user_001,81,2024-03-21,3.5,6.81,6910,69,4,1.19,0.69,0.44,1,1,0,44.1,44.4
user_001,82,2024-03-22,6.36,6.43,6552,99,3,1.57,0.66,0.79,2,1,0,72.0,72.5
user_001,83,2024-03-23,4.77,6.52,8266,75,4,1.48,0.83,0.6,1,0,0,49.4,48.1
user_001,84,2024-03-24,5.59,5.29,7616,87,3,2.71,0.76,0.7,2,0,0,78.2,77.8
user_001,85,2024-03-25,4.74,5.2,4735,79,3,2.8,0.47,0.59,2,1,0,81.5,84.5
user_001,86,2024-03-26,4.9,6.67,6935,65,4,1.33,0.69,0.61,1,1,0,51.0,46.0
user_001,87,2024-03-27,4.49,7.06,7805,48,4,0.94,0.78,0.56,1,1,0,43.7,43.4
user_001,88,2024-03-28,4.41,6.03,6720,69,4,1.97,0.67,0.55,1,1,0,55.9,55.0
user_001,89,2024-03-29,6.96,5.94,3248,92,3,2.06,0.32,0.87,2,1,0,86.0,83.5
user_001,90,2024-03-30,5.33,5.57,4854,75,3,2.43,0.49,0.67,2,0,0,79.9,73.1
user_001,91,2024-03-31,5.88,6.46,5741,94,3,1.54,0.57,0.73,2,0,0,71.4,74.0
user_001,92,2024-04-01,3.75,6.45,7343,47,4,1.55,0.73,0.47,1,1,0,47.9,44.2
user_001,93,2024-04-02,7.35,5.85,2657,80,2,2.15,0.27,0.92,3,1,1,100.0,100.0
user_001,94,2024-04-03,3.31,7.09,8352,36,5,0.91,0.84,0.41,0,1,0,25.6,25.9
user_001,95,2024-04-04,6.33,4.6,3040,79,2,3.4,0.3,0.79,3,1,0,100.0,99.4
user_001,96,2024-04-05,4.44,6.05,4641,54,3,1.95,0.46,0.56,2,1,0,72.0,70.9
user_001,97,2024-04-06,6.26,6.97,6445,94,4,1.03,0.64,0.78,1,0,0,54.4,51.8
user_001,98,2024-04-07,5.99,8.06,6558,79,4,0.0,0.66,0.75,1,0,0,42.9,47.6
user_001,99,2024-04-08,4.03,6.43,8617,43,4,1.57,0.86,0.5,1,1,0,46.6,40.9
user_001,100,2024-04-09,5.63,6.51,5217,75,3,1.49,0.52,0.7,2,1,0,70.9,70.2
user_002,1,2024-01-01,2.9,5.16,4699,32,3,2.84,0.47,0.36,2,1,0,74.6,75.4
user_002,2,2024-01-02,3.55,5.44,2523,43,3,2.56,0.25,0.44,2,1,0,78.8,81.1
user_002,3,2024-01-03,4.21,4.75,3872,66,3,3.25,0.39,0.53,2,1,0,85.6,80.6
user_002,4,2024-01-04,4.26,4.96,4685,52,3,3.04,0.47,0.53,2,1,0,82.1,76.6
user_002,5,2024-01-05,1.66,6.11,5949,20,4,1.89,0.59,0.21,1,1,0,45.6,47.5
user_002,6,2024-01-06,3.12,5.67,2280,37,3,2.33,0.23,0.39,2,0,0,75.2,75.4
user_002,7,2024-01-07,4.08,5.2,5598,51,3,2.8,0.56,0.51,2,0,0,77.1,79.6
user_002,8,2024-01-08,2.26,6.3,7658,20,4,1.7,0.77,0.28,1,1,0,42.7,40.3
user_002,9,2024-01-09,4.3,5.27,4298,54,3,2.73,0.43,0.54,2,1,0,79.9,80.1
user_002,10,2024-01-10,3.42,6.45,4703,51,4,1.55,0.47,0.43,1,1,0,51.8,50.5
user_002,11,2024-01-11,3.03,5.43,5234,38,3,2.57,0.52,0.38,2,1,0,71.3,72.2
user_002,12,2024-01-12,6.1,5.58,1784,97,2,2.42,0.18,0.76,3,1,0,100.0,98.8
user_002,13,2024-01-13,2.67,5.12,1409,33,3,2.88,0.14,0.33,2,0,0,80.6,80.7
user_002,14,2024-01-14,7.12,4.94,1262,108,2,3.06,0.13,0.89,3,0,1,100.0,93.4
user_002,15,2024-01-15,3.89,6.06,1255,65,3,1.94,0.13,0.49,2,1,0,76.5,77.5
user_002,16,2024-01-16,3.11,6.16,8550,45,4,1.84,0.85,0.39,1,1,0,45.8,46.5
user_002,17,2024-01-17,3.06,5.13,5995,34,3,2.87,0.6,0.38,2,1,0,72.9,73.1
user_002,18,2024-01-18,3.04,6.07,5116,52,4,1.93,0.51,0.38,1,1,0,53.2,51.7
user_002,19,2024-01-19,3.29,4.98,3541,49,3,3.02,0.35,0.41,2,1,0,80.2,82.5
user_002,20,2024-01-20,4.0,6.1,6279,60,4,1.9,0.63,0.5,1,0,0,54.5,60.1
user_002,21,2024-01-21,4.18,4.57,1000,73,2,3.43,0.1,0.52,3,0,0,100.0,100.0
user_002,22,2024-01-22,3.54,5.8,2135,74,3,2.2,0.21,0.44,2,1,0,75.9,76.3
user_002,23,2024-01-23,3.74,6.06,4888,54,4,1.94,0.49,0.47,1,1,0,56.6,54.2
user_002,24,2024-01-24,4.18,6.77,6140,74,4,1.23,0.61,0.52,1,1,0,48.8,47.2
user_002,25,2024-01-25,2.42,5.8,5046,44,4,2.2,0.5,0.3,1,1,0,53.6,48.5
user_002,26,2024-01-26,5.45,5.02,2061,66,2,2.98,0.21,0.68,3,1,0,100.0,95.0
user_002,27,2024-01-27,6.1,5.02,1000,72,2,2.98,0.1,0.76,3,0,0,100.0,99.0
user_002,28,2024-01-28,7.11,4.53,1000,97,2,3.47,0.1,0.89,3,0,1,100.0,99.2
user_002,29,2024-01-29,0.5,6.33,5877,20,5,1.67,0.59,0.06,0,1,0,27.0,32.5
user_002,30,2024-01-30,4.96,5.06,1176,95,2,2.94,0.12,0.62,3,1,0,100.0,100.0
user_002,31,2024-01-31,3.63,5.57,4459,49,3,2.43,0.45,0.45,2,1,0,73.9,72.2
user_002,32,2024-02-01,2.96,5.73,3595,34,3,2.27,0.36,0.37,2,1,0,71.3,71.6
user_002,33,2024-02-02,3.31,6.72,1000,57,4,1.28,0.1,0.41,1,1,0,56.0,59.8
user_002,34,2024-02-03,2.62,5.6,4137,22,4,2.4,0.41,0.33,1,0,0,58.3,55.9
user_002,35,2024-02-04,3.78,6.77,5681,65,4,1.23,0.57,0.47,1,0,0,48.0,50.2
user_002,36,2024-02-05,2.26,5.56,5943,20,4,2.44,0.59,0.28,1,1,0,53.5,55.7
user_002,37,2024-02-06,3.32,5.4,5596,50,3,2.6,0.56,0.42,2,1,0,72.1,71.0
user_002,38,2024-02-07,5.0,4.48,4249,75,2,3.52,0.42,0.63,3,1,0,100.0,99.1
user_002,39,2024-02-08,4.0,4.62,5504,54,3,3.38,0.55,0.5,2,1,0,82.8,81.3
user_002,40,2024-02-09,4.87,4.78,1000,52,2,3.22,0.1,0.61,3,1,0,100.0,100.0
user_002,41,2024-02-10,3.57,6.83,1000,67,4,1.17,0.1,0.45,1,0,0,56.0,56.7
user_002,42,2024-02-11,5.0,4.86,3864,69,3,3.14,0.39,0.62,2,0,0,87.6,90.9
user_002,43,2024-02-12,3.75,5.66,3364,51,3,2.34,0.34,0.47,2,1,0,75.7,76.6
user_002,44,2024-02-13,1.56,5.16,6889,23,4,2.84,0.69,0.19,1,1,0,52.9,52.3
user_002,45,2024-02-14,3.63,5.83,3127,43,3,2.17,0.31,0.45,2,1,0,74.0,74.6
user_002,46,2024-02-15,2.44,6.17,1871,44,4,1.83,0.19,0.3,1,1,0,56.3,57.7
user_002,47,2024-02-16,3.92,6.2,6897,65,4,1.8,0.69,0.49,1,1,0,51.9,46.4
user_002,48,2024-02-17,3.58,5.16,4186,55,3,2.84,0.42,0.45,2,0,0,78.3,76.1
user_002,49,2024-02-18,5.34,4.63,1807,60,2,3.37,0.18,0.67,3,0,0,100.0,97.2
user_002,50,2024-02-19,1.99,5.31,7146,20,4,2.69,0.71,0.25,1,1,0,52.6,60.4
user_002,51,2024-02-20,4.2,5.57,2155,65,3,2.43,0.22,0.53,2,1,0,80.8,79.1
user_002,52,2024-02-21,3.76,7.34,3839,64,4,0.66,0.38,0.47,1,1,0,45.9,43.8
user_002,53,2024-02-22,3.57,6.84,3015,68,4,1.16,0.3,0.45,1,1,0,51.9,54.0
user_002,54,2024-02-23,2.94,6.2,6337,47,4,1.8,0.63,0.37,1,1,0,49.1,44.4
user_002,55,2024-02-24,4.24,5.26,3541,65,3,2.74,0.35,0.53,2,0,0,81.3,81.8
user_002,56,2024-02-25,3.51,5.88,5285,54,4,2.12,0.53,0.44,1,0,0,56.7,59.9
user_002,57,2024-02-26,4.61,5.66,3287,47,3,2.34,0.33,0.58,2,1,0,79.3,80.6
user_002,58,2024-02-27,3.86,5.72,1642,43,3,2.28,0.16,0.48,2,1,0,79.0,82.1
user_002,59,2024-02-28,3.56,6.08,4198,50,4,1.92,0.42,0.45,1,1,0,57.1,59.9
user_002,60,2024-02-29,2.99,5.81,3716,37,4,2.19,0.37,0.37,1,1,0,58.4,57.5
user_002,61,2024-03-01,3.88,5.19,6188,45,3,2.81,0.62,0.48,2,1,0,75.3,74.7
user_002,62,2024-03-02,4.58,6.36,3787,74,3,1.64,0.38,0.57,2,0,0,71.2,66.7
user_002,63,2024-03-03,5.43,5.76,2988,86,3,2.24,0.3,0.68,2,0,0,82.2,80.6
user_002,64,2024-03-04,5.3,6.78,2277,69,3,1.22,0.23,0.66,2,1,0,72.9,77.3
user_002,65,2024-03-05,5.51,4.75,2031,74,2,3.25,0.2,0.69,3,1,0,100.0,96.0
user_002,66,2024-03-06,2.51,5.16,3504,34,3,2.84,0.35,0.31,2,1,0,75.4,76.1
user_002,67,2024-03-07,5.47,4.43,4584,74,2,3.57,0.46,0.68,3,1,0,100.0,99.9
user_002,68,2024-03-08,4.42,4.6,4236,63,3,3.4,0.42,0.55,2,1,0,87.2,88.7
user_002,69,2024-03-09,5.46,6.85,1673,71,3,1.15,0.17,0.68,2,0,0,74.0,72.2
user_002,70,2024-03-10,4.44,4.93,5671,76,3,3.07,0.57,0.56,2,0,0,81.1,79.4
user_002,71,2024-03-11,2.61,6.17,3819,42,4,1.83,0.38,0.33,1,1,0,53.1,53.7
user_002,72,2024-03-12,1.79,7.13,8620,20,5,0.87,0.86,0.22,0,1,0,18.7,17.5
user_002,73,2024-03-13,3.95,5.74,5059,75,3,2.26,0.51,0.49,2,1,0,72.3,71.8
user_002,74,2024-03-14,2.65,4.86,3469,36,3,3.14,0.35,0.33,2,1,0,79.0,84.4
user_002,75,2024-03-15,2.99,5.9,4519,53,4,2.1,0.45,0.37,1,1,0,55.9,63.5
user_002,76,2024-03-16,4.47,5.03,5390,69,3,2.97,0.54,0.56,2,0,0,80.8,86.4
user_002,77,2024-03-17,5.81,4.79,3637,92,2,3.21,0.36,0.73,3,0,0,100.0,100.0
user_002,78,2024-03-18,4.22,6.18,5793,72,4,1.82,0.58,0.53,1,1,0,55.5,57.4
user_002,79,2024-03-19,3.41,5.74,6426,39,4,2.26,0.64,0.43,1,1,0,55.4,56.5
user_002,80,2024-03-20,3.14,5.73,6746,45,4,2.27,0.67,0.39,1,1,0,53.8,53.9
user_002,81,2024-03-21,1.98,6.52,6418,49,4,1.48,0.64,0.25,1,1,0,41.9,41.0
user_002,82,2024-03-22,3.87,5.7,6770,53,4,2.3,0.68,0.48,1,1,0,57.0,57.8
user_002,83,2024-03-23,5.84,5.16,1750,83,2,2.84,0.17,0.73,3,0,0,100.0,100.0
user_002,84,2024-03-24,3.88,5.62,2666,66,3,2.38,0.27,0.48,2,0,0,78.0,73.5
user_002,85,2024-03-25,2.94,6.02,7402,40,4,1.98,0.74,0.37,1,1,0,48.8,47.1
user_002,86,2024-03-26,5.87,4.01,1000,86,2,3.99,0.1,0.73,3,1,0,100.0,98.5
user_002,87,2024-03-27,2.39,6.39,5411,27,4,1.61,0.54,0.3,1,1,0,46.8,43.0
user_002,88,2024-03-28,4.66,5.78,3203,83,3,2.22,0.32,0.58,2,1,0,78.4,75.2
user_002,89,2024-03-29,1.78,5.56,5314,27,4,2.44,0.53,0.22,1,1,0,52.9,52.1
user_002,90,2024-03-30,5.53,4.23,5367,76,2,3.77,0.54,0.69,3,0,0,100.0,100.0
user_002,91,2024-03-31,5.52,5.43,3802,81,3,2.57,0.38,0.69,2,0,0,84.2,86.1
user_002,92,2024-04-01,5.21,5.33,4274,71,3,2.67,0.43,0.65,2,1,0,83.0,87.3
user_002,93,2024-04-02,2.8,7.05,4610,24,4,0.95,0.46,0.35,1,1,0,43.5,43.8
user_002,94,2024-04-03,2.79,6.38,3512,34,4,1.62,0.35,0.35,1,1,0,52.3,46.7
user_002,95,2024-04-04,3.07,4.03,1643,50,2,3.97,0.16,0.38,3,1,0,100.0,100.0
user_002,96,2024-04-05,4.12,4.78,3671,57,3,3.22,0.37,0.52,2,1,0,85.3,81.8
user_002,97,2024-04-06,6.92,5.38,1404,97,2,2.62,0.14,0.86,3,0,0,100.0,100.0
user_002,98,2024-04-07,2.66,5.65,3552,27,4,2.35,0.36,0.33,1,0,0,59.0,58.2
user_002,99,2024-04-08,5.77,5.5,1576,86,2,2.5,0.16,0.72,3,1,0,100.0,100.0
user_002,100,2024-04-09,4.72,5.35,2173,73,3,2.65,0.22,0.59,2,1,0,85.0,86.2
user_003,1,2024-01-01,5.99,6.77,2805,97,3,1.23,0.28,0.75,2,1,0,74.7,75.9
user_003,2,2024-01-02,8.48,5.23,1793,108,2,2.77,0.18,1.06,3,1,1,100.0,98.4
user_003,3,2024-01-03,6.6,6.74,8075,91,4,1.26,0.81,0.82,1,1,0,54.8,52.0
user_003,4,2024-01-04,6.76,5.12,3641,89,2,2.88,0.36,0.85,3,1,0,100.0,100.0
user_003,5,2024-01-05,7.17,5.73,4021,109,2,2.27,0.4,0.9,3,1,1,99.3,93.7
user_003,6,2024-01-06,6.27,4.94,6568,86,3,3.06,0.66,0.78,2,0,0,86.5,91.9
user_003,7,2024-01-07,5.4,5.85,5020,77,3,2.15,0.5,0.67,2,0,0,77.0,78.6
user_003,8,2024-01-08,4.35,7.48,5710,64,4,0.52,0.57,0.54,1,1,0,43.2,41.1
user_003,9,2024-01-09,6.24,5.84,1000,86,2,2.16,0.1,0.78,3,1,0,100.0,99.5
user_003,10,2024-01-10,7.13,4.26,2789,88,2,3.74,0.28,0.89,3,1,1,100.0,100.0
user_003,11,2024-01-11,6.31,5.97,4397,75,3,2.03,0.44,0.79,2,1,0,80.8,84.1
user_003,12,2024-01-12,5.01,5.26,3362,49,3,2.74,0.34,0.63,2,1,0,84.7,85.4
user_003,13,2024-01-13,7.05,6.71,3594,84,3,1.29,0.36,0.88,2,0,1,77.9,75.4
user_003,14,2024-01-14,7.98,6.2,3971,123,3,1.8,0.4,1.0,2,0,1,86.0,85.7
user_003,15,2024-01-15,6.29,6.94,2407,91,3,1.06,0.24,0.79,2,1,0,75.0,74.0
user_003,16,2024-01-16,5.2,6.34,2483,71,3,1.66,0.25,0.65,2,1,0,76.4,73.3
user_003,17,2024-01-17,5.63,6.51,2358,78,3,1.49,0.24,0.7,2,1,0,76.7,77.1
user_003,18,2024-01-18,6.4,5.91,4832,68,3,2.09,0.48,0.8,2,1,0,80.8,89.6
user_003,19,2024-01-19,4.81,6.68,2300,73,3,1.32,0.23,0.6,2,1,0,71.8,72.6
user_003,20,2024-01-20,6.58,6.71,2459,97,3,1.29,0.25,0.82,2,0,0,78.3,75.5
user_003,21,2024-01-21,7.32,7.18,3967,105,3,0.82,0.4,0.91,2,0,1,73.6,72.2
user_003,22,2024-01-22,5.94,6.26,4010,72,3,1.74,0.4,0.74,2,1,0,77.2,79.2
user_003,23,2024-01-23,4.55,7.61,2784,66,4,0.39,0.28,0.57,1,1,0,48.5,51.6
user_003,24,2024-01-24,5.55,6.45,6053,83,3,1.55,0.61,0.69,2,1,0,69.6,70.6
user_003,25,2024-01-25,3.83,5.99,6558,59,4,2.01,0.66,0.48,1,1,0,54.3,56.5
user_003,26,2024-01-26,6.62,6.85,2254,93,3,1.15,0.23,0.83,2,1,0,77.5,74.4
user_003,27,2024-01-27,5.82,5.0,1688,97,2,3.0,0.17,0.73,3,0,0,100.0,95.3
user_003,28,2024-01-28,6.99,4.95,1381,99,2,3.05,0.14,0.87,3,0,0,100.0,97.9
user_003,29,2024-01-29,7.16,6.89,1000,93,3,1.11,0.1,0.9,2,1,1,81.8,82.0
user_003,30,2024-01-30,7.21,5.48,2276,89,2,2.52,0.23,0.9,3,1,1,100.0,95.4
user_003,31,2024-01-31,7.59,4.43,6235,113,2,3.57,0.62,0.95,3,1,1,100.0,100.0
user_003,32,2024-02-01,6.55,5.79,3480,89,3,2.21,0.35,0.82,2,1,0,85.3,87.0
user_003,33,2024-02-02,5.82,5.48,1719,71,2,2.52,0.17,0.73,3,1,0,100.0,100.0
user_003,34,2024-02-03,6.62,4.61,3441,107,2,3.39,0.34,0.83,3,0,0,100.0,100.0
user_003,35,2024-02-04,6.63,4.83,2473,91,2,3.17,0.25,0.83,3,0,0,100.0,97.1
user_003,36,2024-02-05,6.52,7.27,3195,92,3,0.73,0.32,0.81,2,1,0,71.0,68.2
user_003,37,2024-02-06,7.53,5.67,1042,106,2,2.33,0.1,0.94,3,1,1,100.0,100.0
user_003,38,2024-02-07,6.02,6.94,3832,81,3,1.06,0.38,0.75,2,1,0,71.0,72.2
user_003,39,2024-02-08,6.46,5.08,4907,87,2,2.92,0.49,0.81,3,1,0,100.0,99.2
user_003,40,2024-02-09,6.76,6.44,1365,102,3,1.56,0.14,0.84,2,1,0,83.9,82.3
user_003,41,2024-02-10,9.54,4.64,1110,125,1,3.36,0.11,1.19,4,0,1,100.0,100.0
user_003,42,2024-02-11,5.87,6.5,1925,78,3,1.5,0.19,0.73,2,0,0,78.6,80.0
user_003,43,2024-02-12,7.33,6.91,1000,105,3,1.09,0.1,0.92,2,1,1,82.2,86.6
user_003,44,2024-02-13,3.83,6.87,4670,57,4,1.13,0.47,0.48,1,1,0,49.3,47.0
user_003,45,2024-02-14,4.13,5.23,6221,68,3,2.77,0.62,0.52,2,1,0,75.8,76.7
user_003,46,2024-02-15,5.22,5.16,4721,62,3,2.84,0.47,0.65,2,1,0,83.8,81.7
user_003,47,2024-02-16,5.15,6.18,2384,72,3,1.82,0.24,0.64,2,1,0,78.1,76.2
user_003,48,2024-02-17,8.2,6.28,1814,119,2,1.72,0.18,1.02,3,0,1,100.0,100.0
user_003,49,2024-02-18,5.95,5.25,4444,102,3,2.75,0.44,0.74,2,0,0,86.4,85.6
user_003,50,2024-02-19,7.93,5.69,1000,101,2,2.31,0.1,0.99,3,1,1,100.0,100.0
user_003,51,2024-02-20,4.76,6.47,6877,63,4,1.53,0.69,0.59,1,1,0,52.6,56.5
user_003,52,2024-02-21,4.4,6.13,1745,62,3,1.87,0.17,0.55,2,1,0,76.8,79.1
user_003,53,2024-02-22,5.95,6.98,1846,85,3,1.02,0.18,0.74,2,1,0,74.3,72.8
user_003,54,2024-02-23,6.29,6.38,4002,77,3,1.62,0.4,0.79,2,1,0,77.3,74.7
user_003,55,2024-02-24,6.51,5.81,2956,98,3,2.19,0.3,0.81,2,0,0,86.0,83.5
user_003,56,2024-02-25,5.44,7.75,1516,84,4,0.25,0.15,0.68,1,0,0,53.2,53.3
